Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Organization),Number of Funding Rounds,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
Hello Heart,https://www.crunchbase.com/organization/hello-doctor,"Fitness, Health Care, Medical, mHealth, Wellness","Menlo Park, California, United States",Hello Heart provides cardiovascular digital therapeutics to help people understand and improve their heart health using technology.,66,7,70000000,USD,70000000,138200000,USD,138200000
Mahmee,https://www.crunchbase.com/organization/mahmee,"Health Care, mHealth, Women's","Los Angeles, California, United States",Mahmee is an integrated care delivery platform for maternal and infant health.,74,7,9200000,USD,9200000,12200000,USD,12200000
Maven Clinic,https://www.crunchbase.com/organization/maven-clinic,"Family, Health Care, mHealth, Women's","New York, New York, United States",Maven is a digital health platform that works with health plans and employers to offer virtual services for women’s and family health.,460,7,110000000,USD,110000000,202100000,USD,202100000
Vytalize Health,https://www.crunchbase.com/organization/vytalize-health,"Health Care, mHealth, Personal Health, Wellness","Hoboken, New Jersey, United States",Accelerating the world’s transition to value-based-care by taking care of the doctors who take care of us.,657,5,47000000,USD,47000000,75500000,USD,75500000
AcuityMD,https://www.crunchbase.com/organization/acuity-md,"Information Technology, Medical Device, mHealth","Boston, Massachusetts, United States",AcuityMD provides a platform for commercializing and improving medical devices with data.,686,2,31000000,USD,31000000,38000000,USD,38000000
LetsGetChecked,https://www.crunchbase.com/organization/letsgetchecked,"Biotechnology, Health Care, Health Diagnostics, Medical, mHealth","New York, New York, United States",LetsGetChecked is an at-home health testing platform that connects customers to regulated laboratory testing.,756,4,150000000,USD,150000000,263000000,USD,263000000
Avi Medical,https://www.crunchbase.com/organization/avi-medical,"Health Care, Medical, mHealth, Personal Health","Munich, Bayern, Germany",Avi Medical is a digital health care company that provides telemedicine services.,808,4,50000000,EUR,54488489,101355442,USD,101355442
Practo,https://www.crunchbase.com/organization/practo,"Health Care, Health Diagnostics, Medical, mHealth, Mobile Apps, Pharmaceutical, Wellness","Bangalore, Karnataka, India","Practo is an mhealth platform that connects patients with healthcare providers through booking appointments, check-ups, and consultations.",818,7,32000000,USD,32000000,228246376,USD,228246376
Truepill,https://www.crunchbase.com/organization/truepill,"Health Care, Medical, mHealth, Pharmaceutical","Hayward, California, United States",Truepill provides an API-connected healthcare infrastructure designed to revolutionize the patient experience.,995,7,142000000,USD,142000000,255400000,USD,255400000
One Medical,https://www.crunchbase.com/organization/one-medical-group,"Family, Health Care, Medical, mHealth, Mobile Apps","San Francisco, California, United States",One Medical is a members-only technology platform offering an array of concierge medical services.,"1,079",12,,,,532065000,USD,532065000
Ginger,https://www.crunchbase.com/organization/ginger-io,"Health Care, mHealth, Mobile Apps, Wellness","San Francisco, California, United States","Ginger is an on-demand mental health company providing around-the-clock access to emotional support via coaching, therapy, and psychiatry.","1,149",11,100000000,USD,100000000,220700000,USD,220700000
Eleanor Health,https://www.crunchbase.com/organization/eleanor-health,"Health Care, Health Diagnostics, Hospital, mHealth, Psychology","Waltham, Massachusetts, United States","Eleanor Health provides comprehensive mental health and substance use disorder care in clinics, virtually, and in patient's homes.","1,242",3,50000000,USD,50000000,81999881,USD,81999881
SWORD Health,https://www.crunchbase.com/organization/sword-health,"Health Care, Medical, mHealth, Therapeutics","New York, New York, United States",SWORD Health is a digital musculoskeletal therapy provider that pairs its members with a licensed physical therapist.,"1,429",9,163000000,USD,163000000,323466017,USD,323466017
MediBuddy,https://www.crunchbase.com/organization/medi-buddy,"Health Care, Health Insurance, Medical, mHealth","Bangalore, Karnataka, India","MediBuddy is a digital healthcare platform for inpatient hospitalization, outpatient services, and corporate wellness benefits.","1,493",6,125000000,USD,125000000,192132379,USD,192132379
Ovia Health,https://www.crunchbase.com/organization/ovuline,"Health Care, Information Technology, mHealth, Mobile","Boston, Massachusetts, United States",Ovia Health offers a comprehensive maternity and family benefits solution.,"1,501",8,7584895,USD,7584895,23304887,USD,23304887
Vida Health,https://www.crunchbase.com/organization/vida-health,"Health Care, Medical, mHealth, Personal Health, Therapeutics","San Francisco, California, United States",Vida Health is a virtual care platform that provides health coaching from experienced health care providers and medical institutions.,"1,711",5,110000000,USD,110000000,188000000,USD,188000000
Mika,https://www.crunchbase.com/organization/mika-9650,"Health Care, mHealth, Therapeutics","Berlin, Berlin, Germany",Mika is a digital platform empowering people affected by cancer.,"1,855",4,10000000,EUR,10524997,10524997,USD,10524997
Opya,https://www.crunchbase.com/organization/optimus-outcome,"Health Care, mHealth, Wellness","San Mateo, California, United States",Opya transforms autism care by successfully connecting treatment with technology.,"1,859",2,15400000,USD,15400000,19300000,USD,19300000
VitalHub,https://www.crunchbase.com/organization/vitalhub,"Electronic Health Record (EHR), Enterprise Software, Health Care, Hospital, mHealth","Toronto, Ontario, Canada","VitalHub provides EHR, case management, and mobile solutions to a wide range of health and human service providers.","1,888",6,17500000,CAD,13997379,60477930,CAD,46796178
EverlyWell,https://www.crunchbase.com/organization/everlywell,"Health Care, Medical Device, mHealth, Mobile Apps","Austin, Texas, United States","EverlyWell is a digital health company that offers consumer testing, virtual care, at-home collection tests, and digital results.","1,892",8,75000000,USD,75000000,325000000,USD,325000000
Moving Analytics,https://www.crunchbase.com/organization/moving-analytics,"Analytics, Health Care, Information Technology, Medical, mHealth","Los Angeles, California, United States",Moving Analytics is a provider of turnkey and home-based post-acute care management solutions for cardiopulmonary disease.,"1,906",13,6000000,USD,6000000,11515000,USD,11515000
