Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Organization),Number of Funding Rounds,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
MedCircle,https://www.crunchbase.com/organization/medcircle,"Content Creators, Content Delivery Network, Digital Media, Health Care, Media and Entertainment, News, Personal Health, Video","Carlsbad, California, United States",MedCircle is a San Diego based company redefining the mental health care market,"54,171",1,4500000,USD,4500000,4500000,USD,4500000
DiveThru,https://www.crunchbase.com/organization/divethru,"Health Care, Media and Entertainment, Mobile Apps, Psychology","Edmonton, Alberta, Canada",DiveThru is transforming mental health from something young people struggle with alone to something they take charge of together.,"59,648",3,235000,CAD,188474,333363,USD,333363
AdamHS,https://www.crunchbase.com/organization/adamhs,"Enterprise Resource Planning (ERP), Funding Platform, Government, Health Care, Media and Entertainment","Cleveland, Ohio, United States","AdamHS Board is responsible for the planning, funding, and monitoring of public mental health and addiction treatment and recovery services.","108,129",1,150000,USD,150000,150000,USD,150000
WealthKingdom,https://www.crunchbase.com/organization/wealthkingdom,"Media and Entertainment, News","Nicosia, Nicosia, Cyprus","Founded by Andrew Anastasiou, WealthKingdom is a project supporting entrepreneurs and startups with advice, and advocating mental health.","165,942",1,51000,EUR,60071,51000,EUR,60072
ADDitude Magazine,https://www.crunchbase.com/organization/additude-53ce,"Health Care, Media and Entertainment","New York, New York, United States","ADDitude Magazine provides accurate, timely information from leading medical and mental health experts.","221,931",,,,,,,
Medical Daily,https://www.crunchbase.com/organization/medical-daily,"Health Care, Media and Entertainment, Publishing","New York, New York, United States","Medical Daily is an online publishing company of mental health, vitality, innovation and medical stories.","345,689",,,,,,,
PsyCom,https://www.crunchbase.com/organization/psycom,Media and Entertainment,"Montclair, New Jersey, United States",PsyCom is a Media Production company.,"433,273",,,,,,,
Men's Variety,https://www.crunchbase.com/organization/men-s-variety,"Fashion, Media and Entertainment, Men's, News, Personal Health, Wellness","Chicago, Illinois, United States","Men's Variety is a health, wellness, and lifestylesite website for men. Dedicated to helping men everywhere. The playbook for men!","601,485",,,,,,,
Stigma App,https://www.crunchbase.com/organization/stigma-app,"Film, Media and Entertainment, Video","Chicago, Illinois, United States",Stigma App is a media firm and mental health app aimed to reducing the stigma and other unknown disorders.,"662,838",,,,,,,
KAKE,https://www.crunchbase.com/organization/kake-03e8,"Broadcasting, Media and Entertainment, News, Sports","Wichita, Kansas, United States",KAKE is an media production company.,"987,164",,,,,,,
Reprezent-Eclectic Productions,https://www.crunchbase.com/organization/reprezent-eclectic-productions,"Digital Entertainment, Digital Media, Internet Radio, Media and Entertainment, Social Media","London, England, United Kingdom",Enabling people to have a voice so they can better represent themselves.,"1,099,783",,,,,,,
Speechmark Publishing,https://www.crunchbase.com/organization/speechmark-publishing,"Health Care, Media and Entertainment","Brackley, Highland, United Kingdom","Speechmark Publishing provides high quality, practical resources for professionals working.","1,324,957",,,,,,,
jslyhl,https://www.crunchbase.com/organization/jslyhl,"Internet, Media and Entertainment, Social Media","Zhengzhou, Henan, China",jslyhl.com is a Chinese website that provides consulting services and medical care for its customers.,"1,340,752",1,10000000,USD,10000000,10000000,USD,10000000
AY Magazine,https://www.crunchbase.com/organization/ay-magazine,"Lifestyle, Media and Entertainment, Publishing","Little Rock, Arkansas, United States","AY Magazine is a multimedia company that publishes magazines related to lifestyle, mental health, and politics in digital and print formats.","1,474,665",,,,,,,
Cavalcade Productions,https://www.crunchbase.com/organization/cavalcade-productions,"Health Care, Media and Entertainment, Training, Video","Nevada City, California, United States","Cavalcade Productions produces training videos for mental health professionals, with a focus on psychological trauma.","1,474,836",,,,,,,
Caz Bzdek,https://www.crunchbase.com/organization/caz-bzdek,Media and Entertainment,,Best Keynote Speaker! From private parties to schools to corporate events in Colorado and nationwide.,"1,554,702",,,,,,,
The Power Thread,https://www.crunchbase.com/organization/the-power-thread,Media and Entertainment,"New York, New York, United States",Connecting women and redefining power through authentic conversation and community.,"1,561,712",,,,,,,
