1,Gligamesh Pharmaceuticals,WO2021168082A1,Specific tryptamines for use in the treatment of mood disorders,2/18/20,Published,"Tryptamines for mood disorders; disclosing many and in vitro/in vivo data for four: N-methyl-N-ethyltryptamine, N-ethyl- N-propyltryptamine, and 5-fluoro analogs"
2,"Yale University, U.S. Dep't of Veterans Affairs",US20210236523A1,Psychedelic treatment for headache disorders,2/5/20,Pending in US,"Treating a headache disorder by administering psilocybin, LSD, mescaline, DMT, DOI, DOB, and analogs thereof"
3,Synbionik Gmbh,WO2021110992A1,Non-naturally occurring bacteria modified able to produce tryptophan derived compounds,12/4/19,Published,"Non-naturally occurring microorganism modified to produce N,N-DMT and 5-MeO-DMT; methods of purifying it and formulating into pharmaceutical compositions"
4,Intima Bioscience,WO2021067626A1,Genetic engineering of fungi to modulate tryptamine expression,10/1/19,Published,"Methods for modulating the tryptamine biosynthesis pathway and genetically modified organisms with induced and/or increased expression of tryptamines, including DMT"
5,CaaMTech,US20210023052A1,Compositions containing toad secretion compounds,7/23/20,Pending in US,"Compositions of (1) a purified toad secretion tryptamine, including N,N-DMT and 5-MeO-DMT, and (2) a serotonergic drug, psilocybin derivative, cannabinoid, or terpene"
6,Danmarks Tekniske Universitet,WO2021052989A1,Yeast cells and methods for production of tryptophan derivatives,9/15/19,Published,"Transformed cells capable of producing compounds including halogenated N,N-DMT, and methods of their use in production"
7,University of Maryland,WO2021030571A1,Methods of Treating Psychological and Brain Disorders,8/12/19,Published,"Methods of treating a psychological disorder by administering a 5-HT agonist in combination with a 5-HT2A antagonist, the 5-HT agonists including DMT"
8,Applied Biology Inc,US20210030787A1,Methods for protecting hair follicles,7/31/19,Pending in US,"Topical agents for reducing and inhibiting the effects of hair loss and hair shedding due to chemotherapy and radiotherapy, including by additionally using N,N-DMT"
9,Concept Matrix Solutions,US20210015833A1,Oral soft gel capsule containing psychedelic compound,7/18/19,Pending in US,"Softgels containing “psilocybin, psilocin, baeocystin, mescaline, LSD, ketamine, salvinorin A, ibotenic acid, muscimol, DMT, MDMA, MDEA, MDA, & combinations"""
10,Concept Matrix Solutions,US20210015738A1,Oral dissolvable film containing psychedelic compound,7/17/19,Pending in US,"Films containing “psilocybin, psilocin, baeocystin, mescaline, LSD, ketamine, salvinorin A, ibotenic acid, muscimol, DMT, MDMA, MDEA, MDA, & combinations"""
11,GH Research Limited,WO2020254584A1,"Recrystallisation of 5-methoxy-n,n-dimethyltryptamine (5-MeO-DMT) in methyl tert.-butyl ether (mtbe) and less than 5 wt% of an aliphatic anti-solvent",6/19/19,Published,Metholds of purifying 5-MeO-DMT and producing crystalline 5-MeO-DMT; compositions of purified 5-MeO-DMT
12,Small Pharma Ltd,WO2021116503A2,Deuterated compounds,6/3/19,Published,"Deuterated N,N-DMT compounds and compositions, their use to treat psychiatric or neurological disorders, and their synthesis"
13,Small Pharma Ltd,WO2020245133A1,"Therapeutic Compositions Comprising Deuterated Or Partially Deuterated N,N-dimethyltryptamine Compounds",6/3/19,Published,"Compositions comprising two or more of N,N-DMT and deuterated N,N-DMT compounds, their use to treat psychocognitive disorders, and their preparation"
14,"Karl Dresdner, Michael Cary, Chase Hudson",US20200345585A1,Process for making aqueous therapeutic particle having stable exterior water clustering with nanosized thickness,4/30/19,Pending in US,"Processes for making aqueous therapeutic nanoparticles, including with substituted tryptamines to treat depression, anxiety and PTSD, including N,N-DMT and 5-MeO-DMT"
15,The Regents Of The University Of California,WO2020185581A2,Compositions And Methods For Modulating Lipid And Steroid Metabolism,3/8/19,Published,"Methods for promoting colonization of spore-forming bacteria in a patient’s gut, comprising administering a serotonin receptor agonist, including N,N-DMT and 5-MeO-DMT"
16,"University Of Padova, Institute For Research In Biomedicine, Barcelona",WO2020181194A1,Compositions And Methods Of Use Comprising Substances With Neural Plasticity Actions Administered At Non-psychedelic/psychotomimetic Dosages And Formulations,3/7/19,Published,"Structural analogues to psilocin, norpsilocin, psilocybin, baeocystin, norbaeocystin, and N,N-DMT, and their use as neuroplastogens and for microdosing"
17,GH Research Limited,WO2020169851A1,"Compositions Comprising 5-methoxy-n,n-dimethyltryptamine (5-MeO-DMT) For Use In Treating Mental Disorders",2/22/19,Published,"5-MeO-DMT for treatment of MDD where administered via intravenous, intramuscular or subcutaneous route"
18,GH Research Limited,WO2020169850A1,"5-methoxy-n,n-dimethyltryptamine (5-MeO-DMT) For Treating Depression",2/22/19,Published,5-MeO-DMT for treatment of MDD where administered via inhalation
19,University of North Carolina at Chapel Hill,US20200187851A1,Periodontal disease stratification and uses thereof,12/17/18,Pending in US,"Methods of treating and preventing periodontal disease and tooth loss, by administering a therapeutic agent, including 5-MeO-DMT"
20,Palo Alto Investors LP,US20200179349A1,Methods of Treating Food Allergy Conditions,12/6/18,Pending in US,"Treating a food allergy condition by administration of a psychedelic, including N,N-DMT and 5-MeO-DMT"
21,Neurolign USA,WO2020097320A1,Rehabilitation Of Subjects With Pharmacologically Induced Neuroplasticity,11/8/18,Published,"""Neurological rehabilitation method"" comprising performing tasks ""during periods of pharmacologically induced neuroplasticity"" including by administration of DMT"
22,Rejoy,US20200060997A1,TARR Receptor Agonists For Sexual Dysfunction,8/27/18,Pending in US,"Compositions of a TARR receptor agonist for treating female sexual dysfunction, where it is applied to contract smooth muscle of the nipple areola complex, including of N,N-DMT"
23,"Yale University, U.S. Dep't of Veterans Affairs",WO2020041329A1,Combination therapy for treating or preventing depression or other mood diseases,8/20/18,Published,"Treating depression and mood disorders, with combination of a TOR inhibitor or immunosuppressant together with ketamine, psilocybin, LSD, ayahuasca, and DMT"
24,"Applied Biology, Inc.",WO2020023084A1,Taar Receptor Agonists For The Treatment Of Alopecia,7/26/18,Published,"Methods for treating hair shedding by applying a composition of a pilomotor effective amount of a Taar receptor agonist topically, including N,N-DMT"
25,Robert John Petcavich,WO2019246532A1,Method Of Inducing Dendritic And Synaptic Genesis In Neurodegenerative Chronic Diseases,6/21/18,Published,"Methods of inducing neuron dendritic and synaptic genesis in neurodegenerative diseases by administering a tryptamine including N,N-DMT and 5-MeO-DMT"
26,Anavex Life Sciences Corp.,WO2019222754A1,Optimized Sigma-1 Agonist Method Of Responder Selection And Treatment,5/18/18,Published,"Methods of selecting a subject having a genetic polymorphism causing the subject to have an altered response to a Sigma-1 receptor agonist, including where the agonist is DMT"
27,New Atlas Biotechnologies LLC,US20210108238A1,Processes For The Production Of Tryptamines,3/8/18,Pending in US,"Prokaryotic and eukaryotic microbes, including E. coli and S. cerevisiae, genetically altered to biosynthesize tryptamines, including N,N-DMT and 5-MeO-DMT"
