1,"Michael Buck IP, Octavian & Desmond Pty Ltd",AU2021106875A4,A method of synthesizing a compound,8/24/21,Granted 2021-11-25 (expires 2029-08-24),"Methods of synthesizing alkylamphetamine analogues and intermediates, including MDMA; the MDMA produced by the methods"
2,Mind Medicine Australia Ltd,AU2021106190A4,"Improved method of synthesis of 1-(3’,4’-methylene dioxyphenyl)-2-(methylamino) propane (MDMA)",8/20/21,Granted 2021-10-28 (expires 2029-08-20),"Methods of synthesising MDMA from piperonal, and the MDMA produced from the methods"
3,Octavian & Desmond Pty Ltd,AU2021900219A0,"Novel method of manufacture for MDMA, different intermediates, enantiomers, pharmaceutical preparations, and their therapeutic use",2/2/21,Filed,"Novel method of manufacture for MDMA, different intermediates, enantiomers, pharmaceutical preparations, and their therapeutic use (bibliographic information only published)"
4,Biotech Intellectual Holdings Ltd,AU2020904571A0,"Preparation of MDMA, different enantiomers, polymorphs, intermediates, formulations and their use",12/9/20,Filed,"Preparation of MDMA, different enantiomers, polymorphs, intermediates, formulations and their use (bibliographic information only published)"
5,Institute Of Science And Technology Austria,WO2021074448A1,Stimulation of neuronal plasticity,10/18/19,Published,"Inducing synchronized gamma oscillations by applying a visual stimulus comprising a flashing light, together in some embodiments with an agent including psychedelics and MDMA"
6,University of Maryland,WO2021030571A1,Methods of Treating Psychological and Brain Disorders,8/12/19,Published,"Methods of treating a psychological disorder by administering a 5-HT agonist in combination with a 5-HT2A antagonist, the 5-HT agonists including MDMA"
7,Concept Matrix Solutions,US20210015833A1,Oral soft gel capsule containing psychedelic compound,7/18/19,Pending in US,"Softgels containing “psilocybin, psilocin, baeocystin, mescaline, LSD, ketamine, salvinorin A, ibotenic acid, muscimol, DMT, MDMA, MDEA, MDA, & combinations"""
8,Concept Matrix Solutions,US20210015738A1,Oral dissolvable film containing psychedelic compound,7/17/19,Pending in US,"Films containing “psilocybin, psilocin, baeocystin, mescaline, LSD, ketamine, salvinorin A, ibotenic acid, muscimol, DMT, MDMA, MDEA, MDA, & combinations"""
9,"Karl Dresdner, Michael Cary, Chase Hudson",US20200345585A1,Process for making aqueous therapeutic particle having stable exterior water clustering with nanosized thickness,4/30/19,Pending in US,"Processes for making aqueous therapeutic nanoparticles, including with cannabinoids, psilocybin and related tryptamines, LSD, MDMA and MDA, ayahuasca, and ketamine"
10,The Regents Of The University Of California,WO2020185581A2,Compositions and methods for modulating lipid and steroid metabolism,3/8/19,Published,"Promoting colonization of spore-forming bacteria in a patient’ s gut, by administering a serotonin receptor agonist, including mescaline, certain subsituted phenethylamines, and MDMA"
11,Apollo Neuroscience,US20200215297A1,Systems and methods of mitigating negative effects of therapies with transcutaneous vibration,1/4/19,Pending in US,Transcutaneous vibratory simulation during MDMA-assisted psychotherapy
12,Contera Pharma,WO2020127954A1,Treatment of movement disorders,12/20/18,Published,"Pharmaceutical compositions for treating movement disorders comprising a 5-HT1A receptor agonist and an indirect dopamine agonist, including MDMA"
13,Palo Alto Investors LP,US20200179349A1,Methods of Treating Food Allergy Conditions,12/6/18,Pending in US,"Treating a food allergy, by administration of an empathogen or entactogen, including MDMA"
14,Douglas Metcalf,WO2020061573A1,Systems and methods to administer pharmaceuticals,9/23/18,Published,"Containers, devices, and methods to administer single doses of drugs by vaporization, including MDMA"
15,Alpvision,WO2020049182A1,Cognitive computing methods and systems based on biological neural networks,9/8/18,Published,"Cognitive computing systems based on biological neural networks (BNNs), which may comprise additive chemicals that affect the response of the BNN, including MDMA"
