1,Lennham Pharmaceuticals,US11000534B1,Deuterated derivatives of psilocybin and uses thereof,10/8/20,Granted 2021-05-11 (expires 2040-12-10),Pharmaceutical compositions of deuterated psilocybin
2,Orthogonal Thinker,WO2021188870A1,Psilocybin and psilocin containing compositions and methods of using and making the same,3/20/20,Published,"Compositions of psilocybin and/or psilocin and supplements, e.g., amino acids, vitamins, GABA, caffeine, resveratrol, herbs, ginsing, etc., and methods of using and making them"
3,CaaMTech,WO2021188812A1,Crystalline norpsilocin compounds,3/19/20,Published,"Norpsilocin compounds (crystalline 4-HO-NMT freebase and fumarate, 4-HO-NMT fumarate), pharmaceutical compositions thereof, methods of their use"
4,CaaMTech,WO2021188782A1,Crystalline psilacetin derivatives,3/19/20,Published,"Crystalline 4-acetoxy-substituted versions of psilocin analogs (4-AcO-MET and 4-AcO-MALT hydrofumarate, 4-AcO-DALT fumarate fumaric acid) and their use"
5,Bright Minds Biosciences,WO2021179091A1,"3-(2-(aminoethyl)-indol-4-ol derivatives, methods of preparation thereof, and the use as 5-HT2 receptor modulators",3/12/20,Published,"Psilocin analogs that possess 5-HT2A and/or 5-HT2c selective receptor activity, but lack at least some of the undesirable characteristics of 5-HT2B-agonist related activities"
6,Eleusis,WO2021183490A1,Methods and systems for enhancing clinical safety of psychoactive therapies,3/9/20,Published,"Methods and systems for efficient monitoring and scalability of psychedelic therapy, for training clinical staff, and for enhancing safety through oversight of clinical practice"
7,Cure Pharmaceutical,US20210275618A1,Method for obtaining an extract of a plant biomass,3/5/20,Pending in US,"Methods for obtaining an extract using a supercritical fluid solvent system, where the extract is from plant biomass comprising both psilocybin mushrooms and cannabis"
8,Neonmind Biosciences,WO2021159213A1,Method for producing an extract of mushrooom and mushroom extract made therefrom,2/12/20,Published,"Methods of manufacturing a mushroom extract, including from Psilocybe mushroms, the mushroom extract itself, and pharmaceutical formulations"
9,"Yale University, U.S. Dep't of Veterans Affairs",US20210236523A1,Psychedelic treatment for headache disorders,2/5/20,Pending in US,"Treating a headache disorder by administering psilocybin, LSD, mescaline, DMT, DOI, DOB, and analogs thereof"
10,Mindset Pharma,WO2021155470,Psilocin derivatives as serotonergic psychedelic agents for the treatment of CNS disorders,2/4/20,Published,"Prodrugs and deuterated derivatives of psilocybin, and methods of treating CNS disease, disorder or condition and/or a neurological disease, disorder or condition"
11,Mindset Pharma,WO2021155468,Psilocin derivatives as serotonergic psychedelic agents for the treatment of CNS disorders,2/4/20,Published,"Prodrugs and deuterated derivatives of psilocybin, and methods of treating CNS disease, disorder or condition and/or a neurological disease, disorder or condition"
